class index,filepaths,labels,card type,data set
0,train/ace of clubs/001.jpg,ace of clubs,ace,train
0,train/ace of clubs/002.jpg,ace of clubs,ace,train
0,train/ace of clubs/003.jpg,ace of clubs,ace,train
0,train/ace of clubs/004.jpg,ace of clubs,ace,train
0,train/ace of clubs/005.jpg,ace of clubs,ace,train
0,train/ace of clubs/006.jpg,ace of clubs,ace,train
0,train/ace of clubs/007.jpg,ace of clubs,ace,train
0,train/ace of clubs/008.jpg,ace of clubs,ace,train
0,train/ace of clubs/009.jpg,ace of clubs,ace,train
0,train/ace of clubs/010.jpg,ace of clubs,ace,train
0,train/ace of clubs/011.jpg,ace of clubs,ace,train
0,train/ace of clubs/012.jpg,ace of clubs,ace,train
0,train/ace of clubs/013.jpg,ace of clubs,ace,train
0,train/ace of clubs/014.jpg,ace of clubs,ace,train
0,train/ace of clubs/015.jpg,ace of clubs,ace,train
0,train/ace of clubs/016.jpg,ace of clubs,ace,train
0,train/ace of clubs/017.jpg,ace of clubs,ace,train
0,train/ace of clubs/018.jpg,ace of clubs,ace,train
0,train/ace of clubs/019.jpg,ace of clubs,ace,train
0,train/ace of clubs/020.jpg,ace of clubs,ace,train
0,train/ace of clubs/021.jpg,ace of clubs,ace,train
0,train/ace of clubs/022.jpg,ace of clubs,ace,train
0,train/ace of clubs/023.jpg,ace of clubs,ace,train
0,train/ace of clubs/024.jpg,ace of clubs,ace,train
0,train/ace of clubs/025.jpg,ace of clubs,ace,train
0,train/ace of clubs/026.jpg,ace of clubs,ace,train
0,train/ace of clubs/027.jpg,ace of clubs,ace,train
0,train/ace of clubs/028.jpg,ace of clubs,ace,train
0,train/ace of clubs/029.jpg,ace of clubs,ace,train
0,train/ace of clubs/030.jpg,ace of clubs,ace,train
0,train/ace of clubs/031.jpg,ace of clubs,ace,train
0,train/ace of clubs/032.jpg,ace of clubs,ace,train
0,train/ace of clubs/033.jpg,ace of clubs,ace,train
0,train/ace of clubs/034.jpg,ace of clubs,ace,train
0,train/ace of clubs/035.jpg,ace of clubs,ace,train
0,train/ace of clubs/036.jpg,ace of clubs,ace,train
0,train/ace of clubs/037.jpg,ace of clubs,ace,train
0,train/ace of clubs/038.jpg,ace of clubs,ace,train
0,train/ace of clubs/039.jpg,ace of clubs,ace,train
0,train/ace of clubs/040.jpg,ace of clubs,ace,train
0,train/ace of clubs/041.jpg,ace of clubs,ace,train
0,train/ace of clubs/042.jpg,ace of clubs,ace,train
0,train/ace of clubs/043.jpg,ace of clubs,ace,train
0,train/ace of clubs/044.jpg,ace of clubs,ace,train
0,train/ace of clubs/045.jpg,ace of clubs,ace,train
0,train/ace of clubs/046.jpg,ace of clubs,ace,train
0,train/ace of clubs/047.jpg,ace of clubs,ace,train
0,train/ace of clubs/048.jpg,ace of clubs,ace,train
0,train/ace of clubs/049.jpg,ace of clubs,ace,train
0,train/ace of clubs/050.jpg,ace of clubs,ace,train
0,train/ace of clubs/051.jpg,ace of clubs,ace,train
0,train/ace of clubs/052.jpg,ace of clubs,ace,train
0,train/ace of clubs/053.jpg,ace of clubs,ace,train
0,train/ace of clubs/054.jpg,ace of clubs,ace,train
0,train/ace of clubs/055.jpg,ace of clubs,ace,train
0,train/ace of clubs/056.jpg,ace of clubs,ace,train
0,train/ace of clubs/057.jpg,ace of clubs,ace,train
0,train/ace of clubs/058.jpg,ace of clubs,ace,train
0,train/ace of clubs/059.jpg,ace of clubs,ace,train
0,train/ace of clubs/060.jpg,ace of clubs,ace,train
0,train/ace of clubs/061.jpg,ace of clubs,ace,train
0,train/ace of clubs/062.jpg,ace of clubs,ace,train
0,train/ace of clubs/063.jpg,ace of clubs,ace,train
0,train/ace of clubs/064.jpg,ace of clubs,ace,train
0,train/ace of clubs/065.jpg,ace of clubs,ace,train
0,train/ace of clubs/066.jpg,ace of clubs,ace,train
0,train/ace of clubs/067.jpg,ace of clubs,ace,train
0,train/ace of clubs/068.jpg,ace of clubs,ace,train
